Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:49:27,2021-02-16 11:49:28,"0,649s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:49:28,2021-02-16 11:49:28,"0,353s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:49:28,2021-02-16 11:49:29,"0,745s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:49:29,2021-02-16 11:49:39,"10,221s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:49:29,2021-02-16 11:49:35,"6,271s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:49:35,2021-02-16 11:49:37,"2,212s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:49:37,2021-02-16 11:49:38,"0,642s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:49:38,2021-02-16 11:49:38,"0,351s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:49:38,2021-02-16 11:49:39,"0,742s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:49:39,2021-02-16 11:49:49,"10,224s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:49:39,2021-02-16 11:49:45,"6,256s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:49:45,2021-02-16 11:49:48,"2,214s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:49:48,2021-02-16 11:49:48,"0,655s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:49:48,2021-02-16 11:49:49,"0,348s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:49:49,2021-02-16 11:49:49,"0,747s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:49:49,2021-02-16 11:50:03,"13,379s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:49:49,2021-02-16 11:49:56,"6,330s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:49:56,2021-02-16 11:50:01,"5,323s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:50:01,2021-02-16 11:50:02,"0,645s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:50:02,2021-02-16 11:50:02,"0,347s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:50:02,2021-02-16 11:50:03,"0,728s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:50:03,2021-02-16 11:50:13,"10,245s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:50:03,2021-02-16 11:50:09,"6,221s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:50:09,2021-02-16 11:50:11,"2,322s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:50:11,2021-02-16 11:50:12,"0,642s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:50:12,2021-02-16 11:50:12,"0,338s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:50:12,2021-02-16 11:50:13,"0,715s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:50:13,2021-02-16 11:50:23,"10,181s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:50:13,2021-02-16 11:50:19,"6,263s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:50:19,2021-02-16 11:50:21,"2,205s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:50:21,2021-02-16 11:50:22,"0,638s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:50:22,2021-02-16 11:50:22,"0,343s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:50:22,2021-02-16 11:50:23,"0,728s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:50:23,2021-02-16 11:50:35,"12,199s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:50:23,2021-02-16 11:50:29,"6,337s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:50:29,2021-02-16 11:50:34,"4,102s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:50:34,2021-02-16 11:50:34,"0,662s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:50:34,2021-02-16 11:50:35,"0,359s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:50:35,2021-02-16 11:50:35,"0,736s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:50:35,2021-02-16 11:50:46,"10,261s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:50:35,2021-02-16 11:50:42,"6,314s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:50:42,2021-02-16 11:50:44,"2,208s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:50:44,2021-02-16 11:50:45,"0,640s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:50:45,2021-02-16 11:50:45,"0,341s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:50:45,2021-02-16 11:50:46,"0,754s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:50:46,2021-02-16 11:50:56,"10,358s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:50:46,2021-02-16 11:50:52,"6,288s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:50:52,2021-02-16 11:50:54,"2,322s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:50:54,2021-02-16 11:50:55,"0,649s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:50:55,2021-02-16 11:50:55,"0,352s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:50:55,2021-02-16 11:50:56,"0,741s",PASSED
,,,,,,,
Test Cases/PruebaDatosVarios,Chrome 88.0.4324.150,Prueba con diferentes datos para una mejor prueba de posibles casos.,,2021-02-16 11:50:56,2021-02-16 11:51:06,"10,148s",PASSED
"openBrowser("""")",Chrome 88.0.4324.150,,,2021-02-16 11:50:56,2021-02-16 11:51:02,"6,205s",PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 88.0.4324.150,,,2021-02-16 11:51:02,2021-02-16 11:51:04,"2,219s",PASSED
"setText(findTestObject(""Object Repository/Page_Factoriall/input_The greatest factorial calculator_number""), number)",Chrome 88.0.4324.150,,,2021-02-16 11:51:04,2021-02-16 11:51:05,"0,642s",PASSED
"click(findTestObject(""Object Repository/Page_Factoriall/button_Calculate""))",Chrome 88.0.4324.150,,,2021-02-16 11:51:05,2021-02-16 11:51:05,"0,352s",PASSED
closeBrowser(),Chrome 88.0.4324.150,,,2021-02-16 11:51:05,2021-02-16 11:51:06,"0,723s",PASSED
